"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2002";2904694;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2003";2898313;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2004";2893055;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2005";2888232;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2006";2882317;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2007";2878410;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2008";2877059;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2009";2876627;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2010";2917242;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2011";2916577;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2012";2914362;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2013";2909997;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2014";2908457;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2015";2904207;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2016";2903710;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2017";2902547;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2018";2901225;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2002";88132;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2003";88308;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2004";88378;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2005";88341;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2006";88501;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2007";88557;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2008";88848;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2009";89051;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2010";90506;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2011";90528;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2012";90420;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2013";90306;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2014";90346;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2015";90199;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2016";90180;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2017";90173;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2018";90200;"osoba";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2019";;"osoba";"n";
0202000;"Powiat dzierżoniowski";"ogółem";"ogółem";"2002";106479;"osoba";"";
