"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2002";111,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2003";102,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2004";103,2;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2005";108,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2006";105,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2007";108,2;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2008";104,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2009";92,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2010";78,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2011";102,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2012";110,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2013";88,8;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2014";84,8;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2015";78,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2016";80,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2017";75,2;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2018";74,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wypadki drogowe na 100 tys. ludności";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2002";36,56;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2003";35,21;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2004";34,40;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2005";30,69;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2006";26,84;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2007";25,86;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2008";23,90;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2009";18,67;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2010";14,55;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2011";14,76;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2012";13,18;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2013";11,87;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2014";12,45;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2015";9,18;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2016";10,71;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2017";10,02;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2018";8,93;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. pojazdów";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2002";13,52;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2003";12,89;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2004";12,81;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2005";12,59;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2006";11,93;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2007";12,47;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2008";12,62;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2009";10,22;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2010";8,26;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2011";8,88;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2012";8,20;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2013";7,66;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2014";8,32;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2015";6,37;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2016";7,78;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2017";7,55;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2018";7,00;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2002";12,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2003";12,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2004";12,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2005";11,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2006";11,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2007";11,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2008";12,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2009";11,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2010";10,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2011";8,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2012";7,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2013";8,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2014";9,8;"osoba";"";
